,BLOCK_SIZE,num_warps,num_ctas,num_stages,maxnreg,runtime,compile_time,tokens,d,GPU
29,4096,1,1,0,None,0.00907133985310793,0.6640596389770508,32,64,V100
30,1024,4,1,1,None,0.0020685563795268536,0.1547849178314209,32,64,V100
31,8192,32,1,1,None,0.0031475024297833443,0.1588432788848877,32,64,V100
32,8192,4,1,3,None,0.005244084168225527,0.3465232849121094,32,64,V100
33,8192,32,1,0,None,0.0031471773982048035,0.16688871383666992,32,64,V100
34,2048,32,1,5,None,0.002209124621003866,0.0015168190002441406,32,64,V100
35,4096,1,1,2,None,0.009072231128811836,0.6299984455108643,32,64,V100
36,256,8,1,1,None,0.001957845641300082,0.14098644256591797,32,64,V100
37,2048,4,1,4,None,0.0026362051721662283,0.19662165641784668,32,64,V100
38,512,8,1,3,None,0.001982219750061631,0.15080976486206055,32,64,V100
39,1024,1,1,5,None,0.0026928142178803682,0.2564709186553955,32,64,V100
40,512,16,1,0,None,0.001989267533645034,0.14461135864257812,32,64,V100
41,2048,16,1,4,None,0.00213734433054924,0.14925122261047363,32,64,V100
42,64,4,1,5,None,0.0019550330471247435,0.13066816329956055,32,64,V100
43,128,4,1,2,None,0.0019556814804673195,0.13781380653381348,32,64,V100
44,32,8,1,5,None,0.00196132343262434,0.13876891136169434,32,64,V100
45,2048,32,1,4,None,0.00220918795093894,0.15157079696655273,32,64,V100
46,16,32,1,1,None,0.0023261287715286016,0.16261625289916992,32,64,V100
47,512,8,1,2,None,0.0019752210937440395,0.001478433609008789,32,64,V100
48,32,2,1,5,None,0.0019753132946789265,0.12875914573669434,32,64,V100
49,8192,8,1,2,None,0.0036581496242433786,0.25056004524230957,32,64,V100
50,128,2,1,3,None,0.0019883865024894476,0.13939166069030762,32,64,V100
51,32,16,1,4,None,0.002003901405259967,0.12732934951782227,32,64,V100
52,256,2,1,4,None,0.0020092034246772528,0.0015647411346435547,32,64,V100
53,4096,16,1,3,None,0.002429955406114459,0.0016524791717529297,32,64,V100
0,2048,8,1,1,None,0.033309709280729294,0.16615819931030273,8192,512,V100
1,256,2,1,0,None,0.032911986112594604,0.0015070438385009766,8192,512,V100
2,128,1,1,4,None,0.0534454882144928,0.0014350414276123047,8192,512,V100
3,32,16,1,5,None,0.3330560028553009,0.14498615264892578,8192,512,V100
4,16,2,1,3,None,0.4106852412223816,0.1426563262939453,8192,512,V100
5,256,1,1,5,None,0.032915860414505005,0.16759920120239258,8192,512,V100
6,64,32,1,2,None,0.3699815273284912,0.13511157035827637,8192,512,V100
7,4096,16,1,2,None,0.03484542667865753,0.1655750274658203,8192,512,V100
8,512,4,1,5,None,0.032935645431280136,0.0014350414276123047,8192,512,V100
9,1024,4,1,4,None,0.033302806317806244,0.15760087966918945,8192,512,V100
10,2048,4,1,1,None,0.034195203334093094,0.0014908313751220703,8192,512,V100
11,64,4,1,4,None,0.10454130917787552,0.13836288452148438,8192,512,V100
12,1024,1,1,1,None,0.033538054674863815,0.25920939445495605,8192,512,V100
13,16,1,1,1,None,0.41057565808296204,0.1419687271118164,8192,512,V100
14,32,16,1,2,None,0.33267742395401,0.13169217109680176,8192,512,V100
15,128,32,1,4,None,0.19223849475383759,0.0014681816101074219,8192,512,V100
16,4096,2,1,2,None,0.03408506512641907,0.35314011573791504,8192,512,V100
17,256,16,1,0,None,0.05103343352675438,0.13761615753173828,8192,512,V100
18,64,32,1,3,None,0.37052464485168457,0.1375434398651123,8192,512,V100
19,16,8,1,0,None,0.4115736186504364,0.0015153884887695312,8192,512,V100
20,64,16,1,2,None,0.1733718365430832,0.14841532707214355,8192,512,V100
21,64,8,1,1,None,0.10466468334197998,0.14234566688537598,8192,512,V100
22,128,2,1,0,None,0.0535624735057354,0.14361047744750977,8192,512,V100
23,4096,1,1,3,None,0.03521691635251045,0.0017094612121582031,8192,512,V100
24,8192,32,1,3,None,0.0333201102912426,0.16610145568847656,8192,512,V100
25,32,2,1,3,None,0.20661433041095734,0.1461184024810791,8192,512,V100
26,1024,1,1,0,None,0.033538054674863815,0.2516214847564697,8192,512,V100
27,512,8,1,0,None,0.0336427316069603,0.1366889476776123,8192,512,V100
28,16,2,1,5,None,0.4107552766799927,0.14279818534851074,8192,512,V100
29,4096,1,1,0,None,0.03520577773451805,0.6098618507385254,8192,512,V100
